id,batch_id,tanggal,pic,tempat_produksi,varian_produksi,lokasi_gudang,expired_date,timestamp,updated_at
1,1,2025-11-28,Alya,Bandung,Matcha,Jatinangor,2026-05-27,2025-11-28 15:09:23,2025-11-28 15:09:23
2,2,2025-11-28,Hafizh,Arcamanik,Chocolate,Jatinangor,2026-05-27,2025-11-28 15:14:37,2025-11-28 15:14:37
